resightID,animalID,season,date,area,regionID,markobs,markobspos,markadded,markaddedpos,obssex,obsage,pctmolt,comment,markcomment,dead,observer,entrydate,entry,estimated,shark,unsure ,cookiecutter
319017,41117,2018,4/26/18,BMS,2,6540,R,NA,NA,F,ad,0,shark bite - doesn't look great today,NA,0,R. Holser,4/26/18,R. Holser,0,Comment Includes 'Shark',,
319049,41117,2018,4/27/18,MBBU,2,6540,R,NA,NA,F,ad,0,fresh shark wound right side,NA,0,Robinson class,4/27/18,Robinson class,0,Comment Includes 'Shark',,
319075,41117,2018,4/28/18,MBBL,2,6540,R,NA,NA,F,ad,0,shark bite,NA,0,Robinson class,4/28/18,Robinson class,0,Comment Includes 'Shark',,
319224,41117,2018,4/29/18,MBBU,2,6540,R,NA,NA,NA,NA,0,shark bite,NA,0,Robinson class,4/29/18,Robinson class,0,Comment Includes 'Shark',,
319672,41117,2018,5/9/18,BMS,2,6540,R,NA,NA,F,ad,2,shark bite,NA,0,A. Favilla,5/9/18,A. Favilla,0,Comment Includes 'Shark',,
320306,41117,2019,5/20/18,BMS,2,NA,NA,NA,NA,F,ad,100,healing shark bite wound,NA,0,Robinson class,5/20/18,Robinson class,0,Comment Includes 'Shark',,
320387,41117,2019,5/18/18,BMS,2,NA,NA,NA,NA,F,ad,100,shark bites on R,NA,0,R. Holser,5/21/18,R. Holser,0,Comment Includes 'Shark',,
320627,41117,2019,5/23/18,BMS,2,NA,NA,NA,NA,F,ad,100,shark bite R side,NA,0,R. Holser,5/23/18,R. Holser,0,Comment Includes 'Shark',,
322141,41117,2019,12/8/18,MBBU,2,6540,R,NA,NA,F,ad,NA,shark bite scar on right side,NA,0,P. Robinson,12/8/18,P. Robinson,0,Comment Includes 'Shark',,
322454,49903,2019,12/27/18,TSB,2,NA,NA,NA,NA,F,juv,NA,big cookie cutter shark holes in skin and blubber,NA,0,P. Robinson,12/28/18,P. Robinson,0,Comment Includes 'Shark',,
325180,47026,2019,1/24/19,SBE,2,NA,R,NA,NA,F,ad,NA,giant shark bite across belly and up right side.  Seems likely that this is the correct match given all the information,"Could see a faint mark, but not readable",0,R. Holser,1/24/19,R. Holser,0,Comment Includes 'Shark',,
326074,47026,2019,1/29/19,APG,2,NA,NA,NA,NA,F,Ad,NA,bad shark bite scar on belly,NA,0,P. Morris,1/29/19,P. Morris,0,Comment Includes 'Shark',,
331513,45728,2020,5/4/19,BMS,2,NA,NA,NA,NA,F,ad,100,large shark bite scar on back,NA,0,A. Favilla,5/4/19,A. Favilla,0,Comment Includes 'Shark',,
332024,45728,2020,5/14/19,BMC,2,B119,R,NA,NA,F,ad,100,shark bite scar,NA,0,R. Holser,5/14/19,R. Holser,0,Comment Includes 'Shark',,
332544,41117,2020,5/25/19,MBBL,2,NA,NA,5430,R,F,ad,100,shark bite scar on R,NA,0,R. Holser,5/25/19,R. Holser,0,Comment Includes 'Shark',,
333052,41117,2020,5/31/19,MBBL,2,5430,L,NA,NA,F,ad,100,lg shark bite scar on R,NA,0,R. Cuthbertson,5/31/19,R. Cuthbertson,0,Comment Includes 'Shark',,
333309,41117,2020,6/4/19,MBBL,2,5430,R,NA,NA,F,ad,100,sat tag deployment with shark scar,NA,0,J. Kendall-Bar,6/4/19,J. Kendall-Bar,0,Comment Includes 'Shark',,
334436,42675,2020,8/22/19,KRW,16,NA,NA,NA,NA,M,SA3,100,"KRW -Q1
Large shark bite scar on belly",NA,0,E Levy,8/22/19,E Levy,0,Comment Includes 'Shark',,
335259,51232,2020,12/17/19,MBBL,2,NA,NA,NA,NA,F,juv,NA,cookie cutter shark bites on ventral side,NA,0,P. Robinson,12/17/19,P. Robinson,0,Comment Includes 'Shark',,
335454,41117,2020,12/31/19,MBB,2,NA,NA,NA,NA,F,Ad,NA,"SatTag/TDR, shark bite scar R, Pregnant",NA,0,P. Morris,1/1/20,P. Morris,0,Comment Includes 'Shark',,
335465,42285,2020,12/31/19,NPB1,3,7603,L,NA,NA,M,SA4,NA,shark bite scar on belly in front of penile opening,NA,0,P. Morris,1/1/20,P. Morris,0,Comment Includes 'Shark',,
337965,47026,2020,1/27/20,SBW,2,NA,NA,NA,NA,F,Ad,NA,"a chaser, shark scar very low on R",NA,0,P. Morris,1/28/20,P. Morris,0,Comment Includes 'Shark',,
338411,51310,2020,1/29/20,BBN,2,EA,B,EA,R,M,SA4,NA,many shark scars,mark F on R converted to EA,0,P. Morris,1/30/20,P. Morris,0,Comment Includes 'Shark',,
341764,47026,2020,2/12/20,SBEL,2,PL574,R,NA,NA,F,Ad,NA,shark scar low right side and belly,NA,0,P. Morris,2/12/20,P. Morris,0,Comment Includes 'Shark',,
347649,41117,2020,4/13/20,BBN,2,5430,R,NA,NA,F,Ad,0,"shark bite scar right, ~10-12' across, glue patches",NA,0,P. Morris,4/13/20,P. Morris,0,Comment Includes 'Shark',,
348922,49200,2021,5/1/20,BBN,2,NA,NA,D602,R,M,1-2Y,100,shark bite scars around neck,NA,0,P. Morris,5/1/20,P. Morris,0,Comment Includes 'Shark',,
350001,49594,2021,5/16/20,MBB,2,E309,R,NA,NA,F,2Y,100,shark scar R looks like three backwards 3s,NA,0,P. Morris,5/17/20,P. Morris,0,Comment Includes 'Shark',,
350180,49594,2021,5/18/20,BBS,2,E309,R,NA,NA,NA,2-3Y,100,shark scar on R looks like three 3s (333),NA,0,P. Morris,5/19/20,P. Morris,0,Comment Includes 'Shark',,
351061,41117,2021,5/29/20,MBBL,2,5430,L,NA,NA,F,ad,100,"shark bite scar on R, sat tag scar",also has a mirrored C2 on L shoulder from nearby freshly marked seal,0,T. Keates,5/29/20,T. Keates,0,Comment Includes 'Shark',,
351173,42682,2021,5/29/20,BBN,2,G752,LSh,G792,R,F,Ad,100,"Sat mark, Many cookie cutter shark scars, especially on belly",New mark intended to be G752 but the top of the 5 dripped and may look like a 9 with a curved bottom,0,P. Morris,5/30/20,P. Morris,0,Comment Includes 'Shark',,
351703,1784,2021,6/5/20,MBBL,2,NA,NA,NA,NA,F,ad,100,covered in cookie cutter shark bites,NA,0,T. Keates,6/5/20,T. Keates,0,Comment Includes 'Shark',,
351786,37988,2021,6/7/20,MBBL,2,NA,NA,3740,L,F,ad,100,"scarred gashes on L, probable shark",NA,0,T. Keates,6/7/20,T. Keates,0,Comment Includes 'Shark',,
352695,42285,2021,7/27/20,BBNS,2,7603,L,NA,NA,M,SA4,100,Large shark bite scar extends across whole chest/abdomen.,NA,0,P. Morris,7/27/20,P. Morris,0,Comment Includes 'Shark',,
352998,49200,2021,5/1/20,BBN,2,NA,NA,D602,R,M,juv,100,shark scars under neck,NA,0,P. Morris,10/4/20,P. Morris,0,Comment Includes 'Shark',,
353257,49030,2021,10/11/20,KRWQ1,16,NA,NA,NA,NA,NA,Juv,NA,Fresh cookiecutter shark bite on left side.,NA,0,E.Levy,11/4/20,E. Levy,0,Comment Includes 'Shark',,
353488,50366,2021,11/16/20,Monterey Bay Offshore,17,NA,NA,NA,NA,NA,NA,NA,"Hind flipper remains found by Eric Mailander offshore at 1:20pm on November 16th 2020. Location: 47.7/59.2, some 10.6 miles out from SC Harbor. Outer Monterey Bay. Seemed like a fresh kill but pale in color. Pulled carcass in with gaff and it had telltale marks of white shark. Teeth marks and lacerations. No doubt. Photo available if needed.
(TMMC animal ID 3254)",NA,0,other,11/16/20,J. Kendall-Bar,0,Comment Includes 'Shark',,
354273,52558,2021,11/7/20,KRWQ1,16,NA,NA,KJ161,R,F,ad,NA,"3 yr old, CC shark bite",NA,0,E.Levy,11/28/20,E. Levy,0,Comment Includes 'Shark',,
354375,52573,2021,11/21/20,KRWQ1,16,NA,NA,KJ172,R,F,Y,NA,Lots of cookiecutter shark bites,NA,0,E.Levy,11/28/20,E. Levy,0,Comment Includes 'Shark',,
355551,50994,2021,1/1/21,APG,1,G672,L,NA,NA,F,Ad,NA,2 cookie cutter shark bites on R side of belly,NA,0,P.Morris,1/1/21,P. Morris,0,Comment Includes 'Shark',,
356920,52645,2021,1/15/21,SBE,1,NA,NA,NA,NA,F,ad,NA,"looks in really rough shape, perhaps all of head and neck in sharks mouth",NA,0,L. Pallin,1/15/21,L. Pallin,0,Comment Includes 'Shark',,
357165,52645,2021,1/16/21,TSC,1,PB1-,L,PB179,L,F,Ad,NA,recently suffered shark attack,NA,0,P. Morris,1/16/21,P. Morris,0,Comment Includes 'Shark',,
357370,52617,2021,1/17/21,NP0,1,01AA,R,NA,NA,M,SA4,NA,scar below right hip near back flippers. Looks like it might be an old shark bite.,NA,0,C. Nasr,1/17/21,C. Nasr,0,Comment Includes 'Shark',,
358284,40336,2021,1/21/21,AP,1,7481,R,NA,NA,F,ad,NA,Crazy shark bite to the neck,NA,0,P. Robinson,1/21/21,R. Beltran,0,Comment Includes 'Shark',,
358335,40336,2021,1/21/21,AP,1,7481,R,NA,NA,F,Ad,NA,"Horribly shark bitten on R shoulder, must have gotten nailed on her way in.  MBARI buoy has recently shown 10 sharks nearby regularly.  Another unmarked female on TSBE has a similar sized bite to her L belly.  Poor girls.",NA,0,P. Morris,1/22/21,P. Morris,0,Comment Includes 'Shark',,
358782,34254,2021,1/24/21,NP4,1,X832,L,NA,NA,F,ad,NA,shark bite all around pelvis,NA,0,L. Keehan,1/24/21,L. Keehan,0,Comment Includes 'Shark',,
359612,52657,2021,1/29/21,NP4,1,22AF,"R,B",NA,NA,M,SA4,NA,Nasty fresh wound on his lower left flipper possible shark bite,NA,0,A. Torello,1/29/21,A. Torello,0,Comment Includes 'Shark',,
360571,40336,2021,1/31/21,AP,1,7481,"Lx2,R",NA,NA,F,ad,NA,"has a really bad shark bite on her R neck and shoulder, big chunk of tissue missing, picture uploaded",NA,0,A. Favilla,1/31/21,A. Favilla,0,Comment Includes 'Shark',,
361994,34254,2021,2/7/21,TSB,1,X832,L,NA,NA,F,Ad,NA,rear end badly shark bitten,NA,0,P. Morris,2/7/21,P. Morris,0,Comment Includes 'Shark',,
366846,53551,2021,2/17/21,KRWPOS,16,NA,NA,NA,NA,NA,Y,NA,Wound about the size of a cookie cutter shark bite with maggots in it.,NA,0,E. Levy,2/24/21,E. Levy,0,Comment Includes 'Shark',,
368440,40336,2021,3/7/21,North of Pigeon Pt.,17,7481,R,NA,NA,F,ad,NA,"Healing shark bite on R shoulder, looks to be in good body condition.",NA,0,Tristan - 415-656-6198,3/7/21,P. Morris,0,Comment Includes 'Shark',,
369259,52645,2021,3/30/21,BBN,1,_B179,R,NA,NA,F,Ad,0,shark bite scar under neck,First character was sandy but I read it as Y,0,P. Morris,3/31/21,P. Morris,0,Comment Includes 'Shark',,
370934,34254,2021,4/6/21,MBBU,1,X832,L,NA,NA,F,ad,0,shark bite on rear flippers,NA,0,R. Beltran,4/6/21,R. Beltran,0,Comment Includes 'Shark',,
